10,0.195,0.212,0.234,0.19,0.207
10,0.062,0.061,0.069,0.053,0.054
20,0.582,0.553,0.654,0.528,0.64
20,0.055,0.072,0.068,0.083,0.084
30,0.811,0.845,0.881,0.838,0.846
30,0.089,0.092,0.09,0.092,0.083
40,0.975,0.961,0.977,0.958,0.946
40,0.121,0.105,0.101,0.102,0.1
50,0.991,0.994,0.991,0.991,0.989
50,0.093,0.117,0.12,0.109,0.104
60,1.0,0.997,0.999,0.998,0.999
60,0.127,0.12,0.099,0.123,0.111
70,1.0,1.0,1.0,0.998,1.0
70,0.108,0.11,0.106,0.111,0.123
80,1.0,1.0,1.0,0.999,1.0
80,0.137,0.111,0.108,0.115,0.124
90,1.0,1.0,1.0,1.0,1.0
90,0.098,0.136,0.11,0.124,0.084
100,1.0,1.0,1.0,1.0,1.0
100,0.113,0.121,0.113,0.127,0.117
