0,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.01], 40: [0.0, 0.01, 0.02, 0.0, 0.0], 50: [0.02, 0.02, 0.03, 0.03, 0.0], 60: [0.05, 0.02, 0.03, 0.03, 0.060000000000000005], 70: [0.1, 0.05, 0.06, 0.06, 0.1], 80: [0.11, 0.12, 0.15000000000000002, 0.08, 0.1], 90: [0.08, 0.15, 0.08, 0.09, 0.12000000000000001]}
1,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.0, 0.0, 0.0], 50: [0.01, 0.01, 0.04, 0.03, 0.02], 60: [0.05, 0.05, 0.06, 0.060000000000000005, 0.05], 70: [0.05, 0.07, 0.06, 0.04, 0.05], 80: [0.07, 0.1, 0.08, 0.07, 0.07], 90: [0.07, 0.1, 0.08, 0.08, 0.08]}
2,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.0, 0.0, 0.0], 50: [0.0, 0.0, 0.0, 0.0, 0.01], 60: [0.0, 0.0, 0.0, 0.0, 0.01], 70: [0.01, 0.0, 0.01, 0.01, 0.01], 80: [0.02, 0.0, 0.01, 0.0, 0.0], 90: [0.03, 0.01, 0.02, 0.0, 0.01]}
3,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.01, 0.0, 0.0], 40: [0.02, 0.0, 0.0, 0.01, 0.02], 50: [0.02, 0.03, 0.04, 0.06, 0.03], 60: [0.05, 0.09, 0.03, 0.06, 0.04], 70: [0.07, 0.09, 0.14, 0.08, 0.17], 80: [0.14, 0.11000000000000001, 0.11000000000000001, 0.12, 0.08], 90: [0.18, 0.16999999999999998, 0.2, 0.14, 0.16999999999999998]}
4,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.01, 0.01, 0.0, 0.0], 50: [0.02, 0.0, 0.01, 0.02, 0.03], 60: [0.03, 0.01, 0.01, 0.03, 0.01], 70: [0.06, 0.03, 0.06, 0.06, 0.03], 80: [0.08, 0.07, 0.05, 0.08, 0.07], 90: [0.09, 0.07, 0.04, 0.11, 0.09]}
5,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.0, 0.0, 0.0], 50: [0.0, 0.0, 0.0, 0.0, 0.0], 60: [0.01, 0.02, 0.0, 0.01, 0.0], 70: [0.0, 0.0, 0.0, 0.02, 0.01], 80: [0.02, 0.03, 0.0, 0.0, 0.03], 90: [0.03, 0.03, 0.01, 0.03, 0.01]}
6,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.0, 0.0, 0.0], 50: [0.0, 0.0, 0.0, 0.0, 0.0], 60: [0.0, 0.0, 0.0, 0.0, 0.0], 70: [0.0, 0.0, 0.0, 0.0, 0.0], 80: [0.01, 0.0, 0.0, 0.01, 0.0], 90: [0.0, 0.0, 0.0, 0.0, 0.0]}
7,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.0, 0.0, 0.0], 50: [0.0, 0.0, 0.0, 0.0, 0.0], 60: [0.0, 0.0, 0.01, 0.0, 0.0], 70: [0.0, 0.0, 0.0, 0.0, 0.0], 80: [0.01, 0.0, 0.0, 0.01, 0.0], 90: [0.0, 0.02, 0.02, 0.0, 0.0]}
8,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.01, 0.0, 0.01, 0.0, 0.0], 50: [0.0, 0.01, 0.0, 0.01, 0.01], 60: [0.0, 0.02, 0.0, 0.02, 0.02], 70: [0.01, 0.02, 0.02, 0.02, 0.03], 80: [0.01, 0.01, 0.03, 0.03, 0.03], 90: [0.03, 0.07, 0.02, 0.05, 0.05]}
9,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.01, 0.01, 0.0, 0.0, 0.01], 50: [0.01, 0.0, 0.01, 0.0, 0.01], 60: [0.02, 0.01, 0.02, 0.01, 0.0], 70: [0.03, 0.03, 0.03, 0.01, 0.03], 80: [0.01, 0.04, 0.02, 0.04, 0.02], 90: [0.03, 0.04, 0.03, 0.03, 0.03]}
10,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.02, 0.0, 0.0], 50: [0.0, 0.0, 0.01, 0.02, 0.01], 60: [0.0, 0.0, 0.01, 0.03, 0.01], 70: [0.02, 0.01, 0.01, 0.02, 0.02], 80: [0.02, 0.02, 0.03, 0.04, 0.02], 90: [0.04, 0.04, 0.03, 0.04, 0.03]}
